id,attribute_id,name
product_attribute_value_1,车型名称,86BLD
product_attribute_value_2,车型名称,87KKJ
product_attribute_value_3,车型名称,87KHZ
product_attribute_value_4,车型名称,874MK
product_attribute_value_5,车型名称,874MJ
product_attribute_value_6,车型名称,874MW
product_attribute_value_color_1,颜色名称,1
product_attribute_value_color_2,颜色名称,2
product_attribute_value_color_3,颜色名称,Y
product_attribute_value_color_4,颜色名称,W
product_attribute_value_color_5,颜色名称,A
product_attribute_value_color_6,颜色名称,F
product_attribute_value_color_7,颜色名称,O
