id,name,categ_id,type,uom_id,tracking,attribute_line_ids/attribute_id,attribute_line_ids/value_ids,property_account_income_id,property_account_expense_id
product_template_1,长安福特,All,可库存产品,Unit(s),serial,车型名称,"86BLD,87KKJ,87KHZ,874MK,874MJ,874MW",,
,,,,,,颜色名称,"1,2,F,O",,
product_template_service_1,铁路运输-铁路运输,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_2,铁路运输-转运,All,服务,Unit(s),none,,,运输服务收入,前端转运成本
product_template_service_3,铁路运输-装车,All,服务,Unit(s),none,,,运输服务收入,装车成本
product_template_service_4,铁路运输-加固,All,服务,Unit(s),none,,,运输服务收入,加固成本
product_template_service_5,铁路运输-卸车,All,服务,Unit(s),none,,,运输服务收入,卸车成本
product_template_service_6,铁路运输-入库,All,服务,Unit(s),none,,,运输服务收入,入库成本
product_template_service_7,铁路运输-公路配送,All,服务,Unit(s),none,,,运输服务收入,公路配送成本
product_template_service_8,公路运输-前端转运,All,服务,Unit(s),none,,,运输服务收入,前端转运成本
product_template_service_9,公路运输-公路配送,All,服务,Unit(s),none,,,运输服务收入,公路配送成本
product_template_service_10,铁公联运-铁路运输,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_11,铁公联运-转运,All,服务,Unit(s),none,,,运输服务收入,前端转运成本
product_template_service_12,铁公联运-装车,All,服务,Unit(s),none,,,运输服务收入,装车成本
product_template_service_13,铁公联运-加固,All,服务,Unit(s),none,,,运输服务收入,加固成本
product_template_service_14,铁公联运-卸车,All,服务,Unit(s),none,,,运输服务收入,卸车成本
product_template_service_15,铁公联运-入库,All,服务,Unit(s),none,,,运输服务收入,入库成本
product_template_service_16,铁公联运-公路配送,All,服务,Unit(s),none,,,运输服务收入,公路配送成本
product_template_service_17,铁路运输（专列）,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_18,铁路运输（散单）,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_19,铁路运输（站点）,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_20,铁路运输（站点）,All,服务,Unit(s),none,,,运输服务收入,铁路运输成本
product_template_service_21,公路二转,All,服务,Unit(s),none,,,运输服务收入,公路配送成本
product_template_service_22,铁公联运,All,服务,Unit(s),none,,,运输服务收入,公路配送成本
