"id","name","warehouse_id","sequence_id","code"
stock_picking_type_1,装车,,主营业务,内部
stock_picking_type_2,卸车,,主营业务,内部
stock_picking_type_3,加固,,主营业务,内部
stock_picking_type_4,解固,,主营业务,内部
stock_picking_type_5,公路运输,,主营业务,内部
stock_picking_type_6,铁路运输,,主营业务,内部
stock_picking_type_7,自提,,主营业务,内部
stock_picking_type_8,入库,,主营业务,内部
stock_picking_type_9,库内移库,,主营业务,内部
stock_picking_type_10,出库,,主营业务,内部
stock_picking_type_11,洗车,,主营业务,内部
stock_picking_type_12,库间移库,,主营业务,内部
stock_picking_type_13,短驳接车,,主营业务,内部
stock_picking_type_14,短驳配送,,主营业务,内部
