"id","name","code","lot_stock_id:id"
stock_warehouse_1,重庆长安福特VDC库,VDC,stock_location_100
stock_warehouse_2,阿克苏线边库,AKSXB,stock_location_101
stock_warehouse_3,阿克苏站,AKSZ,stock_location_102
stock_warehouse_4,三枰站,SPZ,stock_location_103
stock_warehouse_5,三枰站线边库,SPZXB,stock_location_104
stock_warehouse_6,团结村站,TJCZ,stock_location_105
stock_warehouse_7,团结村线边库,TJCXB,stock_location_106
stock_warehouse_8,唐家沱,TJT,stock_location_107
stock_warehouse_9,拉萨西站,LSXZ,stock_location_108
stock_warehouse_10,拉萨西货场,LSXHC,stock_location_109
stock_warehouse_11,祁东西站,QDXZ,stock_location_110
stock_warehouse_12,祁东西货场,QDXHC,stock_location_111
stock_warehouse_13,王家营西站,WJYXZ,stock_location_112
stock_warehouse_14,王家营西货场,WJYHC,stock_location_113
stock_warehouse_15,党家庄站,DJZZ,stock_location_114
stock_warehouse_16,罗而庄库房,LEZKF,stock_location_115
stock_warehouse_17,新筑站,XZZ,stock_location_116
stock_warehouse_18,新筑铁路库,XZTLK,stock_location_117
stock_warehouse_19,西安福特中转库,FTZZK,stock_location_118
stock_warehouse_20,西安福特待发区,FTDFQ,stock_location_119
stock_warehouse_21,新筑线边库待装区,XZXBK,stock_location_120
stock_warehouse_22,长安福特库,CAFTK,stock_location_121

